node,degree
11100,5
12087,92
12570,25
13884,8
14033,3
15145,23
16490,26
19728,26
47,2
2098,84
13166,12
48,14
1597,15
2313,14
4017,14
4493,14
6070,19
6097,14
8936,14
10327,14
12367,14
13737,14
15605,14
16173,29
16235,14
18197,15
49,11
3970,25
5173,43
5259,30
11178,3
13702,10
14346,17
15300,11
16632,3
17106,3
18364,19
19894,11
50,15
351,6
1185,5
3548,6
3984,5
4406,33
6465,21
6493,6
10049,8
15330,4
15539,2
15778,8
15827,8
17886,45
19476,6
20405,5
51,2
6743,16
10717,21
52,15
356,38
1062,56
1737,22
3185,29
4571,22
9658,19
9885,142
10573,30
11280,10
13359,14
17874,37
18015,63
18294,14
21277,22
22586,8
53,6
483,42
2871,122
5241,10
6178,27
10191,30
13728,6
54,8
1818,13
2925,8
5586,18
5670,16
5679,22
11775,5
21167,27
23068,10
55,2
11298,14
14647,5
56,10
105,3
1846,94
8551,12
9703,3
12965,58
13803,2
15775,3
20048,16
21346,10
22796,7
57,2
16292,3
21411,3
58,3
7842,8
8308,5
13788,3
59,2
4701,19
4872,2
60,3
4287,4
5663,101
12699,4
61,3
10622,16
17357,25
20267,7
62,13
1010,6
1767,59
2119,5
5610,6
7710,31
8165,21
9750,13
13531,35
18074,4
18475,4
19730,5
21913,64
23081,6
63,8
1039,18
1638,30
2431,28
10231,6
13099,96
20383,7
22194,6
22721,22
64,9
2659,10
6439,26
16303,44
18709,27
21555,50
22230,13
22310,9
22566,29
22864,9
65,13
3197,43
6710,22
9537,67
10025,11
10452,53
12188,23
13020,17
18913,64
19032,15
20258,6
21983,38
22037,10
22156,6
66,1
987,1
67,3
2094,42
11408,3
19474,4
68,4
1969,5
12960,11
17850,19
22715,5
69,3
14551,2
19114,13
20321,2
70,1
13051,7
71,3
6270,10
12545,3
13924,31
72,9
1309,8
1739,17
3175,14
12350,9
14588,21
15201,7
16582,28
19587,52
21155,13
73,15
1188,19
1852,10
2441,94
4062,21
7943,24
8052,17
9137,24
12083,5
13973,8
14567,5
15291,40
17497,15
19961,25
20388,25
21832,165
74,2
12356,1
21186,13
75,7
844,23
3648,6
6880,5
8824,9
9980,6
13267,7
18867,7
76,4
6703,6
8287,15
20716,10
22507,4
77,7
2478,3
3078,37
8862,31
15121,21
16742,1
21852,1
22107,25
78,7
303,8
3672,1
3995,12
14512,13
17218,7
17701,2
79,4
6555,4
7829,53
8184,33
13033,4
80,4
4724,13
9825,3
10348,12
12455,1
81,15
2830,24
2877,10
2887,23
3812,22
3840,8
5551,19
7189,10
8779,10
12481,10
13533,10
15179,10
15231,26
17000,36
20836,10
82,6
7865,24
8595,2
8728,2
14664,4
17656,4
18613,4
83,13
1433,27
8486,26
8509,2
8797,7
9515,5
10406,51
12099,7
14095,10
20127,89
20135,72
21066,16
21138,6
21868,6
84,2
10220,12
14532,2
85,5
1425,31
6700,30
18724,6
18894,9
22541,13
86,10
1477,12
2494,32
3461,10
5374,18
6979,32
10680,17
12144,16
13022,20
20205,20
21842,25
87,4
3966,19
5788,4
16886,19
21521,16
88,3
90,6
580,4
15924,10
89,3
7063,9
21960,17
22171,3
2456,48
18610,49
21749,15
91,3
652,13
5609,3
23016,15
92,6
2848,9
3137,5
3511,6
3715,2
14684,2
22114,6
93,3
582,3
15154,3
18084,3
94,4
399,6
8396,10
11985,4
16350,4
95,1
13799,1
96,5
1226,9
9115,5
14842,14
16211,7
19231,7
97,21
732,13
1198,4
5429,11
5786,8
5978,37
8173,23
8863,7
11248,26
12052,86
12670,71
12875,5
13100,10
13102,20
13877,24
15611,30
15860,3
17768,4
18929,12
19628,3
20597,3
22161,6
98,8
1078,21
15188,15
15720,80
18938,8
19733,18
20952,51
22017,81
22335,10
99,1
5184,20
100,14
122,90
2429,64
2536,38
3697,46
3701,38
9895,74
11781,32
16583,10
16780,26
18296,25
19699,18
20666,119
22366,32
101,9
493,9
2705,2
3205,8
4537,24
5974,3
6821,28
7293,12
7471,58
22662,33
102,2
1159,3
18719,2
103,4
2929,5
15918,17
20397,4
104,3
10809,7
106,5
512,17
2286,42
5947,8
12148,101
14119,40
107,11
6444,9
9923,42
10057,9
10585,4
13174,13
13672,9
17156,29
17311,36
19140,27
20817,4
22091,9
108,5
2306,9
7604,5
17085,5
18633,5
21980,5
109,14
1856,19
3032,17
5793,12
6475,19
11738,19
13967,1
16331,15
17002,11
17199,11
19316,15
19886,2
21235,15
110,7
1551,6
1922,6
14580,11
17160,6
17309,5
20918,6
22078,9
111,1
5292,1
112,14
1338,12
5914,12
7147,12
8151,12
10608,12
12798,12
13469,21
17273,18
18288,57
20198,5
20506,12
20529,24
21557,12
22189,12
113,9
5627,8
7668,3
8930,24
9407,7
9437,3
16058,13
16262,24
17117,4
19088,45
114,1
13490,1
115,3
14279,5
15055,3
17839,6
116,28
1295,3
2518,50
2708,6
4733,43
6787,7
6875,34
7165,24
8489,8
8904,30
9189,4
9533,7
11783,92
12202,9
12578,12
12608,26
13740,64
14234,5
15705,6
15843,36
16282,43
16405,5
16525,6
18067,4
18113,7
18350,6
18372,4
19779,7
22176,3
117,5
3154,16
118,2
585,4
21291,32
119,14
1424,6
4271,11
5407,8
7099,27
7750,5
9355,4
10804,6
11774,11
14208,6
15839,5
18143,10
19545,21
120,4
650,6
973,21
4907,14
14507,22
121,10
138,10
3962,25
5774,27
9121,20
9651,19
11301,252
11742,22
15396,76
17523,47
1136,33
1845,13
1857,3
1882,37
2439,6
3013,8
3492,22
3499,19
3624,13
4055,36
4326,15
4591,19
4698,4
5107,2
5669,106
5909,12
5948,4
7047,30
7507,11
7628,13
7746,42
8233,15
8463,54
8470,6
8500,15
8771,10
8792,57
9428,11
9984,52
10751,14
11028,19
11141,9
11321,25
11484,19
12366,15
12416,5
12718,16
12933,60
13149,30
13606,5
13607,31
14528,36
14753,31
15119,89
15399,10
16593,48
17029,11
17245,39
17274,18
17897,128
17907,32
18300,5
18992,5
19199,27
19286,6
20030,9
20411,36
20535,130
20820,13
20842,13
21665,26
22664,9
23031,4
123,5
3422,5
5866,5
11316,5
16084,13
22138,16
124,3
1555,46
2639,3
10113,6
125,36
443,22
835,13
1270,16
2718,32
3090,8
4983,12
5317,31
5859,15
6181,8
6370,15
7482,36
8284,1
8798,14
11878,10
11960,35
14354,14
14982,20
16010,68
16400,22
17605,1
17704,30
17966,1
18995,4
19046,23
19387,20
19832,52
20145,31
22052,42
22245,2
22443,16
22672,29
22744,28
22844,25
126,4
11308,8
12617,22
15359,9
20449,4
127,3
3668,3
4241,3
4371,3
128,3
6164,63
7313,10
11018,6
129,1
15218,1
130,3
9774,4
13297,7
21178,3
131,2
17344,11
17579,2
132,6
4100,1
4768,1
17064,1
17805,2
18584,2
20887,2
133,20
304,36
401,73
517,15
804,1
1702,7
1756,13
1942,1
2364,4
11147,36
11890,6
16554,25
18124,24
18892,10
19055,23
19324,23
19673,5
20600,16
22160,41
22728,4
134,1
16539,4
135,1
4228,6
136,9
3012,9
7122,12
7664,9
9210,36
11695,22
11807,15
18009,20
22150,9
137,5
560,7
1817,47
6869,2
11973,15
18556,12
139,3
4282,10
18545,17
20617,2
140,5
4203,7
11288,56
11548,5
16588,35
19240,8
141,5
342,4
5419,3
9813,7
12231,2
18689,3
142,3
953,4
2521,12
9924,1
143,2
8886,2
13378,2
144,4
7078,5
8861,7
15773,4
18539,5
145,6
5877,6
7631,38
13234,23
13593,16
14132,13
19093,38
146,3
2957,3
3036,20
7665,23
147,6
1173,6
6561,6
11561,6
12674,6
15550,6
17845,6
148,1
1052,1
149,15
1005,4
1279,15
2060,4
6971,6
7253,70
8876,29
16166,5
17128,15
17400,9
17403,3
17448,22
21133,11
21490,25
22502,15
150,1
4419,28
151,2
498,2
7723,9
152,8
1759,42
2842,8
3069,13
3696,7
6570,12
14259,13
17565,18
17633,26
153,3
4352,4
9322,4
21780,3
154,2
155,4
9810,6
10516,16
15652,77
18884,9
156,28
219,13
4317,35
4582,9
6079,28
6168,21
6861,17
7783,14
8224,9
8931,27
12113,39
12425,67
14353,35
14560,25
15617,25
16942,63
17032,26
18989,66
21776,6
22489,21
22705,15
22957,22
157,8
382,52
893,9
1662,4
11824,2
11837,42
16332,3
17052,4
19736,5
158,15
2425,6
6030,16
8645,4
10470,44
11116,11
11838,4
13732,11
14903,20
15932,11
17786,15
20317,33
20390,22
22082,23
159,2
3845,2
15510,2
160,1
19436,5
161,2
2749,2
19011,5
162,5
2312,3
10222,15
13815,29
20435,2
20557,2
163,4
2204,88
3769,9
11036,9
16139,18
164,1
9016,25
165,6
1327,38
1775,7
2807,6
4526,8
7905,6
8705,6
166,7
360,5
2046,3
4454,9
7236,22
12396,5
13079,26
15448,5
167,1
19442,1
168,8
3702,7
6711,8
14621,7
16089,7
16917,7
17185,9
19663,33
21196,7
169,29
202,14
1830,71
3353,12
3460,37
3523,18
4847,6
5168,33
5222,65
7049,75
7436,32
7621,33
8218,19
8633,18
9571,37
10239,2
10362,13
11305,87
11493,18
12352,2
12595,2
17945,14
18865,111
20746,4
21975,31
22582,19
170,4
1304,6
1923,4
4922,4
15816,11
171,10
5990,7
6385,7
8142,3
10721,7
11712,20
11724,38
13006,7
13958,7
16772,10
18106,3
172,2
4804,7
5285,12
173,8
7455,13
8058,2
15084,8
15541,7
17262,6
19371,11
20309,6
174,1
463,11
175,1
176,3
5064,3
7789,3
22553,3
177,2
387,2
1869,4
178,1
8901,15
179,6
8262,2
10332,3
11295,45
14133,4
17011,5
18801,2
180,25
1029,7
1126,21
3436,14
3443,78
3444,21
7523,32
8475,9
9225,35
9403,93
9878,84
9879,48
11292,90
11294,82
13695,47
14527,39
15290,59
19082,62
19328,31
20422,17
22337,7
22670,37
181,30
484,28
1653,48
3140,15
3230,14
4615,33
4737,49
6062,42
6517,8
9026,22
10308,14
10387,35
10590,38
10786,4
11293,15
11749,4
13305,66
13501,9
14397,25
14705,2
16428,17
16542,29
16961,28
18908,9
19060,28
20028,4
21390,62
22087,1
182,3
17714,9
183,9
1779,14
9911,4
9918,19
13816,3
18136,7
18158,3
19304,5
21147,6
21639,4
184,1
10773,15
185,4
5199,28
13551,4
15180,8
19309,14
186,4
7689,16
12637,8
18829,21
20173,19
187,1
1276,11
188,3
8280,19
11641,22
189,12
2800,8
2826,5
5767,31
9036,5
12583,48
13165,8
15327,8
16831,8
18046,10
21540,18
190,2
2430,2
6701,10
191,3
8582,2
8638,3
20142,2
192,3
8837,3
9572,3
10130,63
193,6
4416,94
7900,27
9128,32
11857,30
16763,83
16896,201
194,10
195,3
472,12
3388,17
4192,7
5532,7
11885,22
14197,11
21420,23
21422,3
22186,6
196,2
10388,10
14023,11
197,11
4623,11
5992,11
8047,20
9416,17
9493,17
12714,33
12801,51
17586,20
19994,28
20080,11
198,9
8685,4
12374,20
12766,6
15307,23
16879,4
17848,31
18016,10
20764,67
199,10
435,4
598,15
4842,13
10018,5
11289,48
12818,19
13153,3
14263,4
20550,22
22987,18
200,15
3517,15
4383,27
5012,182
5447,30
7114,15
7658,8
8674,24
10358,8
12255,14
14860,8
17377,29
21051,190
22429,13
201,2
16082,1
20344,1
2631,3
3782,8
5063,5
5944,6
6735,4
6948,6
8462,6
11267,35
14017,11
14343,11
18098,4
22148,4
203,17
1896,16
1903,12
3003,13
3254,16
4022,13
4734,9
4735,9
5119,12
5742,13
7107,12
9351,12
9829,4
17402,60
17443,12
20393,13
20442,12
20443,12
204,13
1260,4
4359,7
7764,5
9213,8
11433,4
12163,6
15304,4
15488,17
16290,9
205,1
6709,30
206,3
6035,28
21751,9
207,7
762,12
2206,33
8639,7
13763,35
14533,33
17678,11
208,5
5225,5
6777,5
12539,5
12540,5
16974,5
209,4
2169,8
5340,4
9494,15
15928,7
210,3
13342,18
20768,24
21504,5
211,8
431,19
3552,6
4085,9
9424,9
12168,7
13532,8
14470,10
212,3
2170,2
12991,20
15176,28
213,4
1274,5
7563,50
10115,2
12316,3
214,2
215,4
7252,8
13589,9
18322,24
19717,7
216,2
462,10
4070,6
217,3
8724,3
15486,3
22533,3
218,2
8966,39
15205,8
220,4
8731,8
22395,4
221,120
449,63
3171,22
3382,12
3757,56
4307,9
4940,19
4988,6
5088,20
5888,22
6018,40
6037,22
6419,22
6889,22
7223,58
7383,22
7520,8
7659,19
8021,15
8086,7
8095,74
8544,22
8644,6
8729,29
8730,6
8795,11
8833,35
9271,17
9316,11
9480,7
9842,45
9857,12
9972,40
10442,6
10799,34
10830,59
10886,18
10947,24
10948,21
11815,23
12040,9
12471,91
12664,35
12846,74
13067,12
13137,22
13302,42
13445,9
13522,13
13766,17
13767,98
13942,44
14040,7
14056,36
14065,45
14086,10
14103,30
14322,33
14331,55
14465,31
14466,13
14602,22
14694,7
14722,11
14738,13
14784,13
16196,27
16239,18
16708,31
16876,46
16882,19
17248,30
17669,5
17670,11
17941,44
18122,22
18354,30
19370,68
19417,4
19530,22
19982,22
20141,11
20147,40
20165,13
20238,52
20693,14
21052,67
21058,7
21069,11
21070,34
21084,50
21661,10
21699,14
21867,26
22105,55
22472,9
22601,20
22778,28
22942,37
222,4
6077,30
18838,3
223,3
2028,4
17511,3
21297,3
224,1
12339,1
225,3
355,10
10422,20
18176,17
226,5
897,11
4234,13
21298,28
227,1
14743,14
228,8
357,25
1837,10
8978,32
9106,11
10318,8
14513,26
14555,8
17661,9
229,12
879,14
3755,16
4370,12
6189,6
6917,2
12307,7
13577,27
14167,9
15788,21
18504,5
19455,2
20467,7
230,2
17854,18
20345,23
231,1
20678,10
232,2
10780,5
12389,16
233,15
2185,20
2228,56
3718,43
5756,17
6310,11
8812,45
13287,11
13306,11
18956,47
19922,8
21462,11
234,1
10480,10
235,16
2482,16
5607,16
5749,16
10157,16
10375,16
10892,18
11260,16
12175,16
13104,18
14576,16
17687,16
18637,16
18866,16
20586,16
20977,16
21368,16
236,5
9253,17
9948,18
9961,8
11447,8
11795,7
237,4
5452,4
16329,4
17407,6
17982,4
238,3
6568,9
10826,11
14666,3
239,4
240,8
14788,11
18415,2
22439,25
6379,6
8011,6
12150,5
14481,22
241,3
5921,3
9113,3
22827,6
242,2
2611,2
243,1
18171,2
244,9
3671,11
7890,30
13250,8
13495,9
13677,9
18440,14
19702,9
22070,21
245,5
2023,25
3880,19
5819,5
12209,11
22149,5
246,1
14223,1
247,1
19792,23
248,5
4572,10
7518,9
7609,10
9566,33
16494,11
249,8
1124,30
4770,4
5502,45
11710,39
16686,22
22465,7
250,2
957,7
1421,7
4781,8
5032,21
5218,23
6477,5
6969,12
6981,25
7822,4
7933,11
7936,15
8104,8
8868,15
9409,6
9513,8
9528,9
10351,6
10741,3
11354,7
12804,6
13116,15
14007,6
14413,3
15787,4
15790,4
16511,8
17317,7
17481,5
17553,3
17721,7
21311,9
21382,4
22589,15
252,1
12622,13
253,3
13056,7
18760,15
20662,3
254,2
255,15
3799,27
4809,25
4814,17
5653,25
5919,37
7780,5
8437,22
8962,22
12879,8
15169,10
17136,5
17838,18
22122,8
256,14
337,2
503,6
959,11
8569,19
8749,7
8839,11
9620,17
9769,2
9978,14
13498,9
15065,15
16510,23
22473,19
257,3
1626,26
2435,3
6565,3
258,3
8856,16
21274,3
22111,14
259,1
16183,4
260,43
550,9
667,6
1416,16
1525,10
1810,32
1950,8
2008,11
2274,7
2592,27
3678,5
6117,20
6177,25
6949,34
7526,12
8897,46
9412,6
10029,18
10400,35
10908,29
10913,34
10937,11
10951,39
10952,10
10957,6
11123,29
11625,18
11893,6
12292,27
12621,28
13130,24
13713,17
15675,11
17462,10
17688,29
18412,39
18454,6
19810,28
20013,10
20548,11
261,10
1187,20
2263,16
3019,11
5833,16
9166,7
20150,7
21345,14
21828,50
22669,4
262,4
12135,3
15579,9
17391,37
21507,7
263,20
338,14
341,31
367,2
866,12
1321,27
2702,8
3088,9
5209,15
6242,8
7474,36
10310,14
11522,18
15685,3
16045,19
17729,8
19283,13
20788,3
21347,8
21394,6
264,8
2350,8
2428,12
3727,8
11858,3
14870,17
16079,7
17215,21
21498,11
265,2
9198,15
17722,11
266,1
5781,10
267,3
7602,10
12526,3
14414,21
4458,26
4882,14
7851,4
9734,20
10095,3
11199,14
14492,1
15505,5
15644,3
16524,3
16987,46
17719,2
18298,3
19066,4
20054,15
21456,30
22811,37
269,2
1319,2
270,6
1354,6
2469,36
3472,11
13122,6
20283,6
22784,13
271,11
3673,19
5378,5
7148,4
9983,4
10531,10
10570,2
13688,5
16066,18
20308,20
20647,15
21560,7
272,19
2321,11
4059,11
4853,23
5830,11
6726,8
6914,10
7155,10
7505,24
10965,4
11328,10
12036,11
13206,4
14656,18
15666,10
16148,1
16997,13
21502,10
21545,30
273,5
5912,5
6292,5
14306,48
17554,32
19342,12
274,11
11632,2
11831,19
12775,27
13562,4
13838,38
17378,4
17873,2
20454,8
22175,19
275,5
1098,5
6113,5
21267,5
21326,7
276,1
277,5
1172,9
1357,5
14195,5
17477,5
19037,5
278,2
13374,2
17300,2
279,4
3976,29
4706,5
11476,5
280,11
384,20
561,83
2009,3
4027,10
7007,3
9141,5
17420,7
18221,2
22121,20
22144,21
281,4
2580,9
9549,4
14004,8
282,10
283,14
1144,55
9296,28
13727,5
15717,8
16532,5
17759,10
18121,35
20380,12
21478,27
2956,3
4702,3
14851,7
15337,5
20688,6
284,4
2113,7
5723,4
15999,8
17444,4
285,4
4051,4
10363,29
18036,35
21915,7
286,9
4031,2
5461,6
6521,6
6884,2
8172,4
10266,4
10816,2
12948,4
287,2
4125,5
11797,4
288,6
2061,6
3325,45
11195,9
11533,36
13662,9
20264,6
289,4
11077,12
21018,12
22270,6
22324,4
290,8
1430,8
1992,15
2134,30
5210,10
5693,18
19203,8
21952,17
23053,8
291,3
10648,2
11420,2
292,12
2108,6
13274,77
13303,54
15408,7
15515,32
17951,6
19716,11
293,2
14805,4
16821,9
294,2
2721,2
2722,4
295,7
648,6
1718,8
3372,3
3861,6
12509,9
19014,19
20909,50
296,3
414,7
4073,3
11364,3
297,2
8923,25
298,3
6254,9
8612,11
22118,14
299,19
705,11
1204,4
3336,80
4041,73
4160,6
4756,23
7889,41
11135,3
12323,15
13661,28
14224,16
14965,12
15929,5
16991,57
17042,18
18111,3
19783,4
22331,9
300,1
8420,1
301,6
6278,8
12394,13
12707,6
13195,6
13521,3
14495,9
302,5
2998,31
13066,9
20378,14
5732,12
7327,14
17476,3
429,19
1152,25
1493,8
1623,33
1893,19
2438,22
3613,3
3781,3
5351,34
5743,21
6431,28
6616,51
9361,19
9371,37
10829,5
12041,27
12466,40
12795,11
13019,20
14172,9
15764,32
17419,3
18882,15
18936,3
21319,9
22774,3
305,3
4444,4
5785,3
16914,3
306,9
425,50
619,9
1021,50
1264,18
1720,9
5275,11
15673,18
17165,27
18531,13
307,9
3311,9
4553,6
4975,29
5966,14
5967,4
9258,4
13173,7
17123,4
17270,8
308,12
310,2
1629,23
2837,32
2880,6
2952,4
5188,4
10858,19
12923,4
15597,2
15818,7
16077,7
22935,3
309,8
3638,8
11240,8
13243,19
14252,8
14287,8
14652,8
17582,8
311,3
8203,5
10416,2
312,4
3030,4
6151,4
6807,6
6810,6
313,1
314,7
2171,7
2906,15
5843,7
12172,7
12562,7
15363,16
16036,7
315,1
316,10
2892,10
3936,6
4762,5
7230,6
7757,36
9066,35
11756,6
12354,52
12872,10
317,16
2458,5
3332,33
5299,6
6908,10
7303,13
7395,13
9112,9
9894,14
10488,2
11810,13
20218,6
20637,9
22303,22
318,10
489,8
1592,3
2969,13
4008,3
9215,28
9985,25
11687,8
12313,6
15003,13
21013,2
319,6
2303,3
5381,7
10469,7
16053,11
320,7
422,9
1360,4
9846,7
15254,5
17472,4
18083,5
18328,5
321,22
2323,16
3506,60
4342,1
5641,6
6537,2
9644,1
9680,48
9906,9
10372,12
10714,3
11846,24
12705,3
13771,2
19493,8
19509,1
19936,17
22835,10
22921,33
322,3
3767,3
5910,21
323,3
13654,9
14074,6
16700,14
324,4
5934,4
10158,4
13422,4
19483,4
325,1
2262,3
326,1
7266,1
327,2
3961,2
21152,2
328,9
1233,22
3710,4
4348,4
6540,18
6587,22
10596,9
16241,2
17651,9
21608,1
329,20
1333,14
1396,8
2557,38
7131,32
7916,4
8134,7
8684,11
9692,8
10013,14
10021,19
10361,28
12643,22
13181,13
14076,31
15735,7
18269,10
20507,5
21981,6
23051,7
330,7
2063,11
3655,7
5667,7
7069,40
18982,7
20761,7
331,14
4293,12
6988,4
11406,5
11407,7
15157,4
15532,4
16274,4
16759,17
17226,2
19313,8
19321,4
20827,4
21500,2
21591,7
332,3
4716,16
14524,3
21103,29
333,7
1606,6
2251,2
3220,7
3889,8
6619,15
16531,10
22090,20
334,9
7970,21
8526,12
12194,13
12206,24
12538,12
12575,15
13650,10
16685,28
17043,39
335,17
816,1
4868,21
6085,14
6350,26
6692,8
7623,80
8271,2
8878,17
11511,15
12294,2
15368,19
17475,10
19676,12
19724,25
22042,10
22200,5
336,1
339,9
5751,25
6604,15
7417,22
18632,6
20407,18
340,9
343,9
9803,9
11425,44
13909,9
14809,9
17459,7
19298,6
21015,7
21164,6
725,7
810,4
1089,1
1105,7
3103,11
3654,4
5467,15
6108,13
8935,12
10476,17
11374,9
12412,6
13244,13
14961,26
15428,10
16270,11
18278,6
19045,8
19343,6
20741,5
9479,8
344,2
12468,2
345,4
10020,6
11595,4
12902,48
17325,23
346,5
6643,5
6693,5
11578,5
12375,9
18141,5
347,3
1085,6
14423,21
17549,5
348,6
4086,9
7565,27
11767,13
11884,14
11901,21
349,1
350,1
352,15
1481,5
1522,10
2297,5
4703,7
6640,19
7502,11
8555,13
8925,13
13069,10
15151,13
16497,10
18013,14
21563,10
22488,13
353,5
899,16
11271,21
14297,16
18550,11
354,28
1758,30
3598,8
3600,13
4334,23
5883,15
5891,25
7356,17
8120,19
8132,29
8353,6
9270,12
9875,138
12426,72
12467,35
13466,10
13957,16
14845,54
16012,8
17650,12
18147,10
18209,19
18518,12
19854,19
22447,13
530,12
11182,16
11460,8
12897,2
18128,13
19134,3
20475,4
826,19
1844,2
2991,13
3293,13
4559,2
5310,11
5482,13
6213,3
8214,45
9119,25
9236,31
10431,8
11519,7
14152,2
14452,16
15560,12
16895,40
17914,36
19789,25
20265,3
20981,13
21234,25
21942,6
22271,3
668,10
1890,7
3327,24
8359,15
10637,12
10932,12
11341,6
11380,6
13783,14
16150,7
20778,7
20834,17
21518,14
21718,25
22248,16
22892,3
358,1
2125,5
359,2
8869,7
13859,23
361,11
1390,7
2626,2
2931,15
3121,4
3916,4
4500,6
5384,2
7274,6
15487,23
15546,6
362,5
8244,11
9438,5
14075,5
16868,12
22273,5
363,11
4909,14
5507,19
9249,14
11590,25
16086,21
16361,11
16957,11
18248,41
19229,11
19636,11
364,15
1054,48
2793,12
2866,4
7239,6
7240,7
7901,23
9363,9
12343,5
13240,12
15806,7
15868,23
16862,15
17825,5
19336,5
365,37
1351,9
1668,49
1883,26
1965,18
2452,11
4014,7
4662,18
4987,18
6088,17
6208,9
7041,30
7246,8
8291,67
10635,10
11245,4
11371,14
12092,44
12186,22
12636,22
13070,41
13863,20
15031,8
15780,10
16423,4
17456,11
17674,13
17979,12
20417,10
20784,12
21041,18
21487,5
22644,10
366,3
2873,4
11047,48
16519,14
368,7
5654,4
10759,11
14313,60
19130,2
20038,34
369,1
5116,1
370,14
3566,9
4225,9
6128,25
6255,76
11483,12
15402,17
18429,30
19618,11
21329,29
22901,24
22947,17
371,4
1370,18
11865,3
15095,2
16849,2
372,6
3876,8
3996,10
13644,2
14510,8
14520,5
19425,11
373,18
505,17
2000,10
3853,11
5264,20
5392,12
6186,7
11604,3
11802,7
12260,30
13642,8
14082,6
15563,5
17191,7
18890,9
21288,2
21579,57
21729,7
374,7
666,11
1353,3
2838,14
6782,7
11385,8
19593,3
20523,7
375,14
628,9
1619,8
2773,39
3690,35
9684,31
11140,47
11201,26
12067,27
12480,44
14864,41
16442,20
21117,8
376,2
1238,25
1979,18
377,3
5281,22
8074,38
378,4
834,24
16311,12
19127,13
379,2
8948,2
19016,5
380,1
8117,8
381,6
3033,26
12919,20
19301,10
22954,5
1100,13
2202,3
2235,6
2905,4
3060,4
3104,9
3383,14
3689,38
5516,3
5517,19
5906,22
5976,9
6227,8
6232,5
6245,6
6470,27
7418,4
7942,15
7956,55
8653,2
9033,3
11033,5
11740,5
12167,8
12571,32
12596,9
12609,6
13049,8
13355,12
14922,35
